# This is a model profile derived for the Armazone CTA site candidate in Chile, using the measured
# and model profiles for Windhoek/the H.E.S.S. site as an indicator of a bias in
# the lower atmosphere profile of the NRLMSISE-00 model (which mainly aims at
# the upper atmosphere but provides reasonable results also in the troposphere and
# stratosphere). A compensation for such a bias was found to go to a geographic
# latitude some six to seven degrees closer to the equator.
#
# E.long = -70.200 deg, Lat.=-19.000 deg, LST=0.0 h
# Latitude = -19.00000 deg, g=9.78579 (9.78578) m/s^2, reff=6339.478924 km
# Atmospheric Model from annual average NRLMSISE-00 model for east longitude -70.200, latitude -19.000
# H(200 g/cm^2) = 12.438 km, H(300 g/cm^2) = 9.729, H(400 g/cm^2) = 7.644, H(500 g/cm^2) = 5.944 km
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.17176e-03  1.02661e+03   2.71089e-04   297.84   1.00565e+03  1.02581e-02
    1.000     1.06556e-03  9.14796e+02   2.46415e-04   291.77   8.95207e+02  8.29127e-03
    2.000     9.65618e-04  8.13295e+02   2.23230e-04   286.17   7.95219e+02  6.80313e-03
    3.000     8.72735e-04  7.21439e+02   2.01704e-04   280.79   7.04896e+02  5.59775e-03
    4.000     7.87247e-04  6.38503e+02   1.81904e-04   275.42   6.23453e+02  4.56303e-03
    5.000     7.09136e-04  5.63745e+02   1.63821e-04   269.89   5.50118e+02  3.64065e-03
    6.000     6.38134e-04  4.96439e+02   1.47390e-04   264.04   4.84156e+02  2.80912e-03
    7.000     5.73810e-04  4.35896e+02   1.32510e-04   257.76   4.24874e+02  2.07132e-03
    8.000     5.15631e-04  3.81473e+02   1.19057e-04   250.95   3.71631e+02  1.44234e-03
    9.000     4.63015e-04  3.32584e+02   1.06895e-04   243.58   3.23846e+02  9.37473e-04
   10.000     4.15365e-04  2.88705e+02   9.58851e-05   235.63   2.80995e+02  5.62242e-04
   11.000     3.71860e-04  2.49373e+02   8.58368e-05   227.27   2.42618e+02  3.11990e-04
   12.000     3.31090e-04  2.14245e+02   7.64229e-05   219.24   2.08370e+02  1.69850e-04
   13.000     2.92245e-04  1.83094e+02   6.74553e-05   212.21   1.78018e+02  9.74771e-05
   14.000     2.55152e-04  1.55741e+02   5.88932e-05   206.68   1.51377e+02  6.33136e-05
   15.000     2.20014e-04  1.32002e+02   5.07827e-05   203.09   1.28262e+02  4.99275e-05
   16.000     1.87355e-04  1.11659e+02   4.32444e-05   201.67   1.08460e+02  5.01467e-05
   17.000     1.58102e-04  9.44183e+01   3.64919e-05   202.02   9.16788e+01  0.00000e+00
   18.000     1.32708e-04  7.99108e+01   3.06305e-05   203.62   7.75645e+01  0.00000e+00
   19.000     1.11159e-04  6.77487e+01   2.56568e-05   206.02   6.57363e+01  0.00000e+00
   20.000     9.31805e-05  5.75598e+01   2.15072e-05   208.74   5.58307e+01  0.00000e+00
   21.000     7.83342e-05  4.90076e+01   1.80805e-05   211.34   4.75193e+01  0.00000e+00
   22.000     6.60508e-05  4.18074e+01   1.52453e-05   213.74   4.05242e+01  0.00000e+00
   23.000     5.58425e-05  3.57282e+01   1.28891e-05   215.98   3.46200e+01  0.00000e+00
   24.000     4.73236e-05  3.05825e+01   1.09229e-05   218.08   2.96241e+01  0.00000e+00
   25.000     4.01878e-05  2.62173e+01   9.27583e-06   220.08   2.53872e+01  0.00000e+00
   26.000     3.41901e-05  2.25070e+01   7.89149e-06   222.00   2.17871e+01  0.00000e+00
   27.000     2.91334e-05  1.93479e+01   6.72435e-06   223.89   1.87228e+01  0.00000e+00
   28.000     2.48584e-05  1.66542e+01   5.73763e-06   225.79   1.61108e+01  0.00000e+00
   29.000     2.12355e-05  1.43545e+01   4.90141e-06   227.73   1.38815e+01  0.00000e+00
   30.000     1.81587e-05  1.23889e+01   4.19124e-06   229.78   1.19768e+01  0.00000e+00
   32.000     1.33097e-05  9.26790e+00   3.07204e-06   234.37   8.95383e+00  0.00000e+00
   34.000     9.78820e-06  6.97703e+00   2.25923e-06   239.77   6.73659e+00  0.00000e+00
   36.000     7.24051e-06  5.28784e+00   1.67120e-06   245.52   5.10260e+00  0.00000e+00
   38.000     5.39364e-06  4.03425e+00   1.24492e-06   251.30   3.89059e+00  0.00000e+00
   40.000     4.04973e-06  3.09696e+00   9.34725e-07   256.78   2.98488e+00  0.00000e+00
   42.000     3.06678e-06  2.39036e+00   7.07851e-07   261.56   2.30250e+00  0.00000e+00
   44.000     2.34329e-06  1.85300e+00   5.40860e-07   265.21   1.78389e+00  0.00000e+00
   46.000     1.80666e-06  1.44062e+00   4.16998e-07   267.30   1.38618e+00  0.00000e+00
   48.000     1.40394e-06  1.12143e+00   3.24047e-07   267.64   1.07855e+00  0.00000e+00
   50.000     1.09738e-06  8.72656e-01   2.53289e-07   266.34   8.38955e-01  0.00000e+00
   55.000     5.99974e-07  4.61036e-01   1.38481e-07   257.19   4.42930e-01  0.00000e+00
   60.000     3.25544e-07  2.36175e-01   7.51395e-08   242.81   2.26896e-01  0.00000e+00
   65.000     1.70152e-07  1.15918e-01   3.92732e-08   227.93   1.11324e-01  0.00000e+00
   70.000     8.43368e-08  5.45084e-02   1.94660e-08   215.90   5.22651e-02  0.00000e+00
   75.000     3.95973e-08  2.48012e-02   9.13953e-09   208.66   2.37169e-02  0.00000e+00
   80.000     1.79635e-08  1.10899e-02   4.14618e-09   205.11   1.05760e-02  0.00000e+00
   85.000     8.03691e-09  4.91583e-03   1.85502e-09   202.12   4.66284e-03  0.00000e+00
   90.000     3.59602e-09  2.15599e-03   8.30003e-10   196.26   2.02583e-03  0.00000e+00
   95.000     1.59871e-09  9.21029e-04   3.69000e-10   187.55   8.60656e-04  0.00000e+00
  100.000     6.73608e-10  3.82814e-04   1.55477e-10   185.38   3.58448e-04  0.00000e+00
  105.000     2.69097e-10  1.61973e-04   6.21108e-11   197.19   1.52311e-04  0.00000e+00
  110.000     1.09021e-10  7.37110e-05   2.51634e-11   224.14   7.01416e-05  0.00000e+00
  115.000     4.71300e-11  3.70559e-05   1.08782e-11   268.51   3.63251e-05  0.00000e+00
  120.000     2.23479e-11  2.05900e-05   5.15817e-12   333.43   2.13890e-05  0.00000e+00
